planner_id,displayName,planner_numericId,classId,has_text,extractor_skill_id,extractor_name,extractor_class,n_formulas,n_probes,obtainability,class_tree
thunder_wave,Thunder Wave,250,1,False,606,Thunder Wave,Shared,2,0,proc_only,0
time_strike,Time Strike,251,1,False,1737,Time Strike,Shared,1,0,obtainable,0
tornado,Tornado,48,1,False,608,Tornado,Shared,1,0,proc_only,0
tracking,Tracking,509,7,True,1340,Tracking,Druid,4,0,obtainable,1
transcendence,Transcendence,614,5,False,1516,Transcendence,Paladin,5,1,obtainable,1
tremor,Tremor,259,1,False,479,Tremor,Shared,11,1,proc_only,0
unseelie_curse,Unseelie Curse,265,1,False,610,Unseelie Curse,Shared,10,0,proc_only,0
vampiric_strike,Vampiric Strike,397,8,False,1151,Vampiric Strike,Assassin,3,0,obtainable,1
veil_king_plague_grasp,Veil King Plague Grasp,268,1,False,806,Veil King Plague Grasp,Shared,1,0,proc_only,0
vizjerei_rage,Vizjerei Rage,273,1,False,592,Vizjerei Rage,Shared,2,0,proc_only,0
wild_and_free,Wild and Free,353,2,True,1041,Wild and Free,Amazon,6,0,obtainable,1
